epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.0916,0,94.2445,0,0,0,0,0,0,116.144,0,6e-05,6e-05,6e-05
2,50.513,0,91.7627,0,0,0,0,0,0,116.296,0,0.00012614,0.00012614,0.00012614
3,75.634,0,88.5962,0,0,0,0,0,0,116.532,0,0.00017644,0.00017644,0.00017644
4,103.859,0,83.8103,0,0,0,0,0,0,116.405,0,0.0002109,0.0002109,0.0002109
5,131.236,0,78.1108,0,0,0,0,0,0,115.805,0,0.00022952,0.00022952,0.00022952
6,158.323,0,74.6233,0,0,0,0,0,0,114.597,0,0.0002323,0.0002323,0.0002323
7,183.676,0,72.0737,0,0,0,0,0,0,113.343,0,0.00021924,0.00021924,0.00021924
8,209.43,0,72.1014,0,0,0,0,0,0,112.226,0,0.00019034,0.00019034,0.00019034
9,236.55,0,71.9768,0,0,0,0,0,0,111.286,0,0.0001456,0.0001456,0.0001456
10,265.545,0,69.3972,0,0,0,0,0,0,110.467,0,8.502e-05,8.502e-05,8.502e-05
